school,stread03,stdread02,gainreading,stmath02,stmath03,gainmath,stread02r,stread03r,stmath02r,stmath03r,engf02,enhbf02,encop02,engsp03,enhbsp03,encop03,mathfo2,mathbf02,macopf02,mathf03,mahbs03,macops03,atten02,absent02,atten03,absen03,group,hourlace,daylacer,lacerhoursr
3,49,34.4,14.6,25.3,28,2.7,0,1,0,0,3,2,1,2,1,2,0,1,1,0,0,0,163,27,163,19,1, , , 
3,30,50.5,-20.5,57.5,36,-21.5,1,0,1,0,2,2,2,2,2,2,2,1,2,2,1,2,163,8,163,12,1, , , 
3,44,56.4,-12.4,57.5,79,21.5,1,0,1,1,3,2,2,3,2,2,2,2,2,3,2,2,163,9,163,1,1, , , 
3,23,25.3,-2.3,20.4,16,-4.4,0,0,0,0,2,1,0,1,0,0,1,1,1,0,0,0,163,7,163,24,1, , , 
3,55,23,32,37.7,46,8.3,0,1,0,1,2,1,1,2,1,1,2,1,1,1,0,1,163,3,163,9,1, , , 
3,19,41.3,-22.3,17.3,35,17.7,0,0,0,0,3,1,1,2,0,1,2,2,2,0,0,1,119,13,146,13,1, , , 
3,34,35.8,-1.8,56.4,45,-11.4,0,0,1,1,2,2,2,2,1,1,2,2,2,2,2,2,163,5,163,8,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,47,63.5,-16.5,67.7,84,16.3,1,1,1,1,4,2,2,4,2,2,3,2,2,2,2,2,163,0,163,0,1, , , 
3,1,40.7,-39.7,35.1,28,-7.1,0,0,0,0,2,2,1,2,2,1,0,0,1,0,0,1,163,2,163,5,1, , , 
3,21,24.2,-3.2,33,41,8,0,0,0,0,2,1,1,3,1,1,0,0,1,0,0,1,163,13,163,3,1, , , 
3,40,23,17,46.8,42,-4.8,0,0,0,0,1,0,1,1,0,2,2,1,0,3,1,0,163,3,163,6,1, , , 
3,1,18.9,-17.9,42.5,50,7.5,0,0,0,1,1,1,1,2,0,0,4,1,2,2,0,2,163,2,163,5,1, , , 
3,28,51.1,-23.1,39,45,6,1,0,0,1,3,1,2,4,2,2,1,1,2,2,0,1,163,12,163,12,1, , , 
3,74,67.7,6.3,61,67,6,1,1,1,1,4,1,2,4,2,2,3,2,2,3,1,2,163,2,163,2,1, , , 
3,52,59.8,-7.8,46.8,51,4.2,1,1,0,1,4,2,2,4,2,2,3,2,2,2,2,2,163,2,163,3,1, , , 
3,60,52.6,7.4,66.3,63,-3.3,1,1,1,1,0,0,1,3,2,2,0,0,2,4,2,2,163,14,162,15,1, , , 
3,5,46.3,-41.3,44.7,41,-3.7,0,0,0,0,2,1,2,1,1,1,2,1,1,2,1,1,163,10,163,3,1, , , 
3,44,44.1,-0.1,50,57,7,0,0,0,1,1,0,1,2,1,1,2,1,0,2,0,0,163,2,163,23,1, , , 
3,35,25.3,9.7,30.7,15,-15.7,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,163,8,163,4,1, , , 
3,71,61.7,9.3,73.7,69,-4.7,1,1,1,1,4,2,2,4,2,2,3,1,2,3,1,1,163,3,163,7,1, , , 
3,69,72.8,-3.8,89.6,64,-25.6,1,1,1,1,2,1,2,1,0,0,1,0,1,0,0,1,163,18,161,28,1, , , 
3,50,50.5,-0.5,40.2,9,-31.2,1,1,0,0,2,1,2,1,1,1,0,0,0,0,0,0,162,7,163,16,1, , , 
3,28,35.8,-7.8,33,42,9,0,0,0,0,3,0,1,3,1,1,3,2,1,3,1,1,163,10,163,5,1, , , 
3,33,33.7,-0.7,45.7,46,0.3,0,0,0,1,0,0,1,0,0,1,4,2,1,0,0,1,163,1,163,3,1, , , 
3,28,20.4,7.6,42.5,39,-3.5,0,0,0,0,4,2,2,4,2,2,2,1,1,3,2,2,163,12,163,9,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,50,51.6,-1.6,66.3,63,-3.3,1,1,1,1,4,2,1,3,2,2,2,2,1,2,2,1,163,5,163,8,1, , , 
4,52,72.8,-20.8,86.9,71,-15.9,1,1,1,1,4,2,2,4,2,2,4,2,2,4,2,2,163,0,163,3,0,2,1,0
4,50,64.9,-14.9,67.7,46,-21.7,1,1,1,1,4, ,2,4,2,2,4,2,2,4,2,2,163,1,163,2,0,24,12,0
4,50,44.1,5.9,53.2,36,-17.2,0,1,1,0,2,0,2,1,1,2,2,2,2,2,2,1,163,0,163,0,0,28,14,0
4,69,55.3,13.7,65.6,51,-14.6,1,1,1,1,2,1,1,2,1,2,3,2,2,0,0,0,163,0,163,0,0,77,38.5,1
4,92,86.9,5.1,99,80,-19,1,1,1,1,2,0,1,1,0,1,3,1,2,2,1,1,204,0,163,1,0,38,19,1
4,50,57.5,-7.5,56.4,66,9.6,1,1,1,1,3,1,2,2,1,2,4,2,2,3,2,2,162,2,163,1,0,4,2,0
4,43,31.5,11.5,70.1,46,-24.1,0,0,1,1,3,2,1,3,2,0,4,1,0,4,1,0,163,6,163,0,0,1,0.5,0
4,64,49.5,14.5,67.7,41,-26.7,1,1,1,0,3,2,2,2,2,2,4,2,2,4,1,2,163,13,163,11,0,1,0.5,0
