edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
two year college,less than college,white,US citizen,US born,girl,no,yes,50,72,47.06,85.71,NA,yes,no,no,North East,S,English,female,46,Republica,Republican,NA,yes both,high,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,NA,100,NA,yes,NA,NA,North East,S,English,female,75,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,NA,50,NA,yes,NA,NA,midwest,R,English,male,84,Democrat,NA,NA,NA,NA,women,women,women,men,women,no difference,women,women,women,women,men,women,NA,women
two year college,less than college,white,US citizen,US born,either,yes,yes,64.29,94,NA,78.57,yes,yes,NA,NA,south,S,English,male,29,Republica,Do not know,NA,NA,NA,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
two year college,less than college,Others,US citizen,US born,either,yes,yes,50,NA,94.12,21.43,NA,no,yes,no,North East,R,English,male,81,Republica,Democrat,NA,yes both,high,men,no difference,men,men,women,men,men,men,NA,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,girl,yes,no,NA,NA,41.18,35.71,NA,no,no,NA,south,S,English,female,81,Republica,Do not know,NA,yes both,NA,men,women,no difference,men,women,women,men,men,women,NA,men,women,women,men
four year college,college,white,US citizen,US born,boy,yes,no,NA,22,52.94,64.29,no,yes,yes,NA,west,U,English,female,38,NA,Do not know,conservative,yes both,NA,men,no difference,no difference,no difference,no difference,women,men,men,NA,NA,NA,NA,women,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,67,NA,NA,no,NA,NA,NA,west,R,English,male,53,Republica,Do not know,NA,NA,NA,men,NA,men,men,women,no difference,men,men,NA,men,men,women,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,NA,50,41.18,85.71,no,yes,no,NA,midwest,S,English,male,49,Republica,Republican,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,72,47.06,71.43,NA,yes,no,NA,midwest,S,English,male,55,NA,Republican,NA,yes I am,low,no difference,no difference,no difference,women,women,no difference,men,NA,NA,NA,women,women,NA,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,56,47.06,85.71,no,yes,no,NA,midwest,U,English,male,46,Republica,Democrat,NA,no,high,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
four year college,college,white,US citizen,US born,girl,yes,yes,NA,NA,64.71,64.29,NA,yes,yes,NA,midwest,R,English,female,40,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,men,no difference,women,men,no difference,NA,NA,men,NA,women,men,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,west,U,English,female,75,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,no difference,NA,no difference,NA,no difference,NA,NA,NA,NA,NA,NA,NA
NA,NA,white,US citizen,US born,either,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,west,S,English,female,90,Republica,Republican,NA,my spouse is,NA,no difference,NA,men,men,women,NA,NA,NA,NA,men,men,women,NA,NA
