edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,5.88,100,NA,yes,no,NA,south,S,English,male,69,Republica,Republican,NA,yes I am,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,NA,US citizen,US born,either,NA,NA,NA,NA,NA,100,NA,yes,NA,NA,midwest,R,English,male,45,Republica,Do not know,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,no,64.29,NA,NA,92.86,NA,yes,NA,NA,south,R,English,male,52,NA,Do not know,conservative,no,NA,no difference,no difference,no difference,no difference,women,no difference,no difference,NA,NA,NA,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,south,R,English,male,28,NA,NA,NA,my spouse is,high,NA,NA,NA,NA,women,NA,NA,NA,NA,NA,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,21.43,NA,29.41,71.43,NA,yes,no,no,midwest,U,English,male,18,Republica,NA,conservative,no,high,no difference,women,no difference,no difference,women,no difference,men,NA,women,NA,NA,women,NA,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,67,29.41,100,no,yes,no,NA,south,R,English,male,18,Republica,Do not know,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,NA,58.82,28.57,NA,no,yes,NA,midwest,R,English,male,27,Republica,Republican,NA,my spouse is,NA,women,women,women,men,women,men,men,women,women,women,men,women,men,men
four year college,college,black,US citizen,US born,boy,NA,NA,57.14,50,35.29,100,no,yes,no,no,midwest,U,English,female,22,Republica,Democrat,NA,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,Not US citizen,Not US born,either,NA,NA,71.43,NA,47.06,NA,NA,NA,no,yes,North East,U,English,male,27,NA,Democrat,NA,no,low,NA,no difference,no difference,men,women,no difference,NA,NA,NA,NA,men,women,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,61,11.76,64.29,no,yes,no,NA,midwest,R,English,female,39,Democrat,Do not know,conservative,no,high,no difference,women,women,no difference,women,men,no difference,NA,women,women,NA,women,men,NA
HS or less,less than college,white,US citizen,US born,NA,NA,NA,NA,83,58.82,100,yes,yes,yes,NA,west,U,English,male,59,NA,Do not know,NA,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,57.14,56,41.18,92.86,no,yes,no,no,midwest,S,English,male,50,Republica,Do not know,NA,yes both,high,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,NA,41.18,14.29,NA,no,no,NA,midwest,U,English,female,31,Republica,Do not know,conservative,no,high,men,no difference,men,men,men,men,men,men,NA,men,men,men,men,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,67,58.82,71.43,no,yes,yes,NA,North East,S,English,female,69,Republica,Republican,NA,my spouse is,NA,women,no difference,women,no difference,no difference,no difference,men,women,NA,women,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,52.94,50,NA,yes,yes,NA,midwest,U,English,female,67,Republica,Do not know,very conservative,no,high,no difference,women,women,men,women,no difference,men,NA,women,women,men,women,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,50,78,47.06,100,yes,yes,no,no,south,S,English,female,71,Republica,Do not know,NA,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,no,NA,NA,NA,50,NA,yes,NA,NA,south,S,English,female,66,Republica,Do not know,very conservative,my spouse is,high,no difference,women,women,men,women,no difference,men,NA,women,women,men,women,NA,men
four year college,college,black,US citizen,Not US born,boy,NA,NA,57.14,72,41.18,50,NA,yes,no,no,North East,R,English,male,29,NA,Democrat,NA,my spouse is,high,no difference,women,women,men,women,no difference,men,NA,women,women,men,women,NA,men
HS or less,less than college,black,US citizen,US born,boy,yes,no,NA,NA,82.35,35.71,NA,no,yes,NA,south,U,English,female,56,Republica,Democrat,NA,no,NA,men,women,women,men,women,women,women,men,women,women,men,women,women,women
HS or less,less than college,NA,US citizen,Not US born,girl,yes,yes,39.29,NA,29.41,35.71,NA,no,no,no,North East,S,Spanish,female,58,Republica,Democrat,NA,my spouse is,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,girl,no,yes,NA,78,47.06,57.14,yes,yes,no,NA,west,S,English,female,56,Republica,Republican,NA,NA,high,no difference,women,women,women,women,no difference,men,NA,women,women,women,women,NA,men
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,78,58.82,57.14,yes,yes,yes,NA,North East,S,English,male,32,NA,Do not know,NA,my spouse is,high,no difference,no difference,women,men,women,no difference,men,NA,NA,women,men,women,NA,men
four year college,college,white,US citizen,US born,either,yes,yes,100,67,70.59,71.43,no,yes,yes,yes,North East,S,English,male,54,Republica,Republican,NA,yes both,high,men,no difference,no difference,no difference,no difference,no difference,men,men,NA,NA,NA,NA,NA,men
four year college,college,white,US citizen,US born,girl,yes,no,71.43,89,11.76,64.29,yes,yes,no,yes,midwest,S,English,female,66,Republica,Do not know,NA,yes both,high,women,women,women,women,women,no difference,no difference,women,women,women,women,women,NA,NA
graduate,college,white,US citizen,US born,either,NA,NA,71.43,NA,41.18,50,NA,yes,no,yes,south,S,English,female,81,Republica,Democrat,NA,no,NA,no difference,no difference,men,men,women,no difference,men,NA,NA,men,men,women,NA,men
two year college,less than college,NA,Not US citizen,Not US born,girl,no,yes,28.57,44,17.65,21.43,no,no,no,no,west,U,Spanish,female,37,NA,Do not know,NA,no,high,men,men,men,women,women,women,men,men,men,men,women,women,women,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,33,41.18,78.57,no,yes,no,NA,west,U,English,female,19,NA,Do not know,NA,NA,NA,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,88.24,NA,NA,NA,yes,NA,midwest,S,Spanish,male,55,NA,Do not know,NA,no,NA,men,no difference,NA,men,men,men,men,men,NA,NA,men,men,men,men
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,33,23.53,85.71,no,yes,no,NA,west,U,English,male,46,Republica,Do not know,NA,my spouse is,high,no difference,no difference,no difference,men,no difference,no difference,no difference,NA,NA,NA,men,NA,NA,NA
graduate,college,white,US citizen,US born,boy,yes,no,NA,61,41.18,28.57,no,no,no,NA,west,S,English,female,35,Republica,Do not know,conservative,yes both,high,men,women,women,men,women,women,men,men,women,women,men,women,women,men
HS or less,less than college,NA,Not US citizen,Not US born,either,yes,yes,NA,NA,0,78.57,NA,yes,no,NA,midwest,S,Spanish,female,28,NA,NA,NA,NA,NA,no difference,no difference,women,no difference,women,women,no difference,NA,NA,women,NA,women,women,NA
four year college,college,black,Not US citizen,US born,either,NA,NA,35.71,NA,52.94,57.14,NA,yes,yes,no,midwest,U,English,male,62,Republica,Do not know,NA,yes both,low,women,women,women,men,women,no difference,no difference,women,women,women,men,women,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,NA,64.71,7.14,NA,no,yes,NA,south,R,English,male,35,Republica,Republican,NA,my spouse is,NA,men,men,men,men,women,men,men,men,men,men,men,women,men,men
two year college,less than college,Others,US citizen,US born,either,NA,NA,100,NA,41.18,64.29,NA,yes,no,yes,south,R,English,female,19,Republica,Democrat,NA,yes both,high,men,no difference,men,no difference,women,no difference,no difference,men,NA,men,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,either,no,yes,NA,33,47.06,78.57,no,yes,no,NA,North East,S,English,female,47,Republica,NA,NA,my spouse is,high,no difference,no difference,women,no difference,women,women,no difference,NA,NA,women,NA,women,women,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,58.82,NA,NA,NA,yes,NA,south,U,English,female,83,Republica,Do not know,NA,yes both,high,men,no difference,women,no difference,women,NA,no difference,men,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,56,NA,35.71,no,no,NA,NA,North East,S,English,female,20,Republica,Democrat,NA,NA,low,women,women,women,men,women,women,men,women,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,64.29,NA,NA,NA,NA,NA,NA,NA,south,S,English,female,59,NA,Do not know,very conservative,no,NA,NA,women,men,men,no difference,women,men,NA,women,men,men,NA,women,men
four year college,college,white,US citizen,US born,either,NA,NA,NA,NA,47.06,64.29,NA,yes,no,NA,south,S,English,female,36,Democrat,Democrat,NA,my spouse is,high,no difference,no difference,women,no difference,women,women,men,NA,NA,women,NA,women,women,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,72,58.82,35.71,NA,no,yes,NA,south,R,English,female,21,Republica,Democrat,NA,my spouse is,high,no difference,men,men,women,women,women,men,NA,men,men,women,women,women,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,50,NA,76.47,35.71,NA,no,yes,no,west,U,English,female,67,Republica,Republican,NA,my spouse is,high,men,no difference,women,men,no difference,men,men,men,NA,women,men,NA,men,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,50,11.76,100,no,yes,no,NA,south,U,English,male,45,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,Not US born,either,yes,yes,NA,NA,58.82,64.29,NA,yes,yes,NA,midwest,R,English,male,57,Republica,Do not know,conservative,no,high,no difference,no difference,no difference,women,women,women,men,NA,NA,NA,women,women,women,men
graduate,college,NA,US citizen,US born,either,no,yes,NA,83,NA,100,yes,yes,NA,NA,North East,S,English,male,54,Republica,NA,NA,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,NA,Not US citizen,Not US born,either,NA,NA,35.71,NA,NA,NA,NA,NA,NA,no,south,S,Spanish,female,18,NA,Do not know,conservative,my spouse is,NA,no difference,no difference,NA,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,72,11.76,64.29,NA,yes,no,NA,North East,S,English,male,44,Republica,Do not know,very conservative,yes both,high,no difference,no difference,women,no difference,no difference,men,men,NA,NA,women,NA,NA,men,men
two year college,less than college,white,US citizen,US born,either,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,North East,S,English,female,80,Republica,Republican,NA,my spouse is,NA,no difference,NA,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,girl,no,yes,28.57,NA,64.71,21.43,NA,no,yes,no,North East,U,English,female,71,Republica,Republican,NA,no,high,men,women,women,men,men,women,men,men,women,women,men,men,women,men
four year college,college,white,US citizen,Not US born,NA,no,yes,NA,NA,0,100,NA,yes,no,NA,south,S,English,female,44,NA,Do not know,very conservative,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,no,yes,50,NA,23.53,50,NA,yes,no,no,North East,S,English,female,80,Republica,Do not know,NA,yes both,NA,men,women,women,women,women,no difference,women,men,women,women,women,women,NA,women
four year college,college,white,US citizen,US born,either,NA,NA,NA,94,0,42.86,yes,NA,no,NA,midwest,U,English,male,21,Republica,Do not know,very conservative,yes both,low,no difference,no difference,women,men,women,men,men,NA,NA,women,men,women,men,men
HS or less,less than college,white,US citizen,US born,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,S,English,female,72,Republica,Do not know,very conservative,my spouse is,high,NA,NA,women,men,women,women,NA,NA,NA,women,men,women,women,NA
graduate,college,white,US citizen,US born,boy,yes,yes,35.71,NA,11.76,NA,NA,NA,no,no,midwest,S,English,male,80,Republica,Democrat,NA,no,high,NA,no difference,men,men,men,men,men,NA,NA,men,men,men,men,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,U,English,female,65,Republica,Democrat,NA,yes both,low,no difference,NA,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,NA,US citizen,US born,either,yes,yes,96.43,50,11.76,78.57,no,yes,no,yes,west,U,English,female,38,NA,Democrat,NA,my spouse is,high,no difference,no difference,women,no difference,no difference,no difference,men,NA,NA,women,NA,NA,NA,men
graduate,college,white,US citizen,US born,girl,no,yes,NA,89,23.53,NA,yes,NA,no,NA,west,S,English,female,74,Republica,Republican,NA,my spouse is,NA,no difference,no difference,men,no difference,women,no difference,NA,NA,NA,men,NA,women,NA,NA
four year college,college,white,US citizen,US born,boy,yes,yes,NA,89,23.53,57.14,yes,yes,no,NA,midwest,S,English,female,39,Republica,Do not know,very conservative,my spouse is,high,no difference,no difference,women,men,women,no difference,men,NA,NA,women,men,women,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,no,28.57,56,41.18,35.71,no,no,no,no,west,U,English,male,53,Republica,Republican,NA,my spouse is,NA,no difference,women,women,men,women,men,men,NA,women,women,men,women,men,men
two year college,less than college,white,US citizen,US born,boy,yes,no,57.14,67,41.18,92.86,no,yes,no,no,south,S,English,male,37,Republica,Republican,NA,my spouse is,high,no difference,women,no difference,no difference,no difference,no difference,no difference,NA,women,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,NA,NA,42.86,NA,NA,NA,NA,west,S,English,female,99,NA,Democrat,NA,NA,NA,women,women,women,men,women,women,women,women,women,women,men,women,women,women
HS or less,less than college,Others,Not US citizen,NA,boy,NA,NA,78.57,NA,58.82,50,NA,yes,yes,yes,midwest,U,English,male,18,NA,Do not know,conservative,my spouse is,NA,no difference,men,no difference,men,women,no difference,men,NA,men,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,21.43,72,NA,21.43,NA,no,NA,no,midwest,R,English,male,77,Republica,Republican,NA,my spouse is,high,women,women,men,men,women,men,men,women,women,men,men,women,men,men
graduate,college,white,US citizen,US born,boy,NA,NA,7.14,83,29.41,57.14,yes,yes,no,no,North East,S,English,female,26,NA,Republican,NA,yes both,high,no difference,women,men,no difference,women,no difference,men,NA,women,men,NA,women,NA,men
four year college,college,white,US citizen,US born,either,yes,yes,92.86,NA,29.41,100,NA,yes,no,yes,south,S,English,female,43,Republica,Democrat,NA,my spouse is,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,35.71,NA,52.94,85.71,NA,yes,yes,no,west,R,English,male,70,Republica,Democrat,NA,yes both,NA,no difference,women,no difference,no difference,women,no difference,no difference,NA,women,NA,NA,women,NA,NA
HS or less,less than college,NA,US citizen,US born,boy,no,yes,NA,NA,23.53,28.57,NA,no,no,NA,south,U,English,female,28,Democrat,Democrat,NA,my spouse is,NA,women,women,women,men,men,women,men,women,women,women,men,men,women,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,78.57,56,NA,100,no,yes,NA,yes,west,U,English,male,53,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,NA,yes,no,42.86,NA,NA,57.14,NA,yes,NA,no,midwest,S,English,female,52,Republica,Do not know,NA,NA,NA,no difference,women,women,no difference,women,women,men,NA,women,women,NA,women,women,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,47.06,NA,NA,NA,no,NA,south,S,English,female,57,NA,Democrat,NA,yes both,low,women,women,no difference,no difference,women,NA,men,women,women,NA,NA,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,yes,100,NA,58.82,57.14,NA,yes,yes,yes,midwest,S,English,female,79,Republica,Do not know,very conservative,my spouse is,high,men,no difference,no difference,men,no difference,no difference,men,men,NA,NA,men,NA,NA,men
graduate,college,white,US citizen,US born,boy,yes,yes,NA,72,70.59,28.57,NA,no,yes,NA,midwest,R,English,female,50,Republica,Do not know,very conservative,my spouse is,NA,men,women,women,men,women,women,men,men,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,14.29,94,58.82,100,yes,yes,yes,no,south,S,English,male,54,Republica,Do not know,conservative,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,61,0,100,no,yes,no,NA,south,U,English,male,78,Republica,NA,NA,yes both,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,yes,50,NA,35.29,28.57,NA,no,no,no,south,R,English,male,65,Republica,Do not know,NA,yes both,high,men,no difference,men,no difference,men,men,men,men,NA,men,NA,men,men,men
